No,카페이름,상세주소,주소,위도,경도
96,cup of coffee(컵오브커피 차이나타운점),인천광역시 중구 북성동2가 9-4,인천광역시 중구 북성동2가 9-4,37.4771996,126.6187996
97,(주)달콤커피 동성주유소점,인천광역시 중구 신흥동3가 34,인천광역시 중구 신흥동3가 34,37.44814,126.62876
98,막내네,인천광역시 중구 인현동 84-1,인천광역시 중구 인현동 84-1,37.47503,126.63179
99,체이스커피(chase coffee),인천광역시 중구 운서동 3063-1,인천광역시 중구 운서동 3063-1,37.48447,126.48626
100,커피온니(COFFEE 온니),인천광역시 중구 항동7가 60,인천광역시 중구 항동7가 60,37.45443,126.61033
101,카페일리오,인천광역시 중구 운서동 3114-7,인천광역시 중구 운서동 3114-7,37.48447,126.48626
102,플로스 로비라운지,인천광역시 중구 운서동 2877,인천광역시 중구 운서동 2877,37.48447,126.48626
103,더선셋카페(The sunset cafe),인천광역시 중구 북성동3가 4-11,인천광역시 중구 북성동3가 4-11,37.47616,126.62091
104,티파니,인천광역시 중구 무의동 852,인천광역시 중구 무의동 852,37.38999,126.41902
105,풍경이있는커피,인천광역시 중구 항동7가 58-50,인천광역시 중구 항동7가 58-50,37.45443,126.61033
106,이디야 월미도점,인천광역시 중구 북성동1가 98-446,인천광역시 중구 북성동1가 98-446,0.0,0.0
107,엔제리너스 인천공항 T2 3F점,인천광역시 중구 운서동 2868,인천광역시 중구 운서동 2868,37.48447,126.48626
108,엔제리너스 인천공항 T2 B1점,인천광역시 중구 운서동 2868,인천광역시 중구 운서동 2868,37.48447,126.48626
109,(주)커피빈코리아 인천공항제2여객터미널입국점,인천광역시 중구 운서동 2868,인천광역시 중구 운서동 2868,37.48447,126.48626
110,더벤티 영종도운서역점,인천광역시 중구 운서동 2803-1,인천광역시 중구 운서동 2803-1,37.48447,126.48626
111,카페사푼사푼 인천공항점,인천광역시 중구 운서동 2868,인천광역시 중구 운서동 2868,37.48447,126.48626
112,스타벅스 인천공항T2입국,인천광역시 중구 운서동 2868,인천광역시 중구 운서동 2868,37.48447,126.48626
113,스타벅스 인천공항T2출국,인천광역시 중구 운서동 2868,인천광역시 중구 운서동 2868,37.48447,126.48626
114,스타벅스 인천공항T2에어,인천광역시 중구 운서동 2868,인천광역시 중구 운서동 2868,37.48447,126.48626
115,크리스피크림 인천공항T2점,인천광역시 중구 운서동 2868,인천광역시 중구 운서동 2868,37.48447,126.48626
116,크리스피크림 인천공항T2에어점,인천광역시 중구 운서동 2868,인천광역시 중구 운서동 2868,37.48447,126.48626
117,공차 인천공항4호점,인천광역시 중구 운서동 2868,인천광역시 중구 운서동 2868,37.48447,126.48626
118,공차 인천공항5호점,인천광역시 중구 운서동 2868,인천광역시 중구 운서동 2868,37.48447,126.48626
119,에어카페 T2,인천광역시 중구 운서동 2868,인천광역시 중구 운서동 2868,37.48447,126.48626
120,자작나무숲,인천광역시 중구 운서동 2091-104,인천광역시 중구 운서동 2091-104,37.4588028,126.4487361
121,투썸플레이스 인천공항여객터미널점,인천광역시 중구 운서동 2840,인천광역시 중구 운서동 2840,37.48447,126.48626
122,실버카페하늘마루(인천중구노인인력개발센터),인천광역시 중구 운서동 2851,인천광역시 중구 운서동 2851,37.48447,126.48626
123,블루틴(bluetin),인천광역시 중구 을왕동 773-70,인천광역시 중구 을왕동 773-70,37.45259,126.38318
124,탐앤탐스 왕산점,인천광역시 중구 을왕동 810-98,인천광역시 중구 을왕동 810-98,37.45259,126.38318
125,브라운핸즈 개항로,인천광역시 중구 경동 232-10,인천광역시 중구 경동 232-10,37.47209,126.63188
126,스무디킹 인천공항점,인천광역시 중구 운서동 2840,인천광역시 중구 운서동 2840,37.48447,126.48626
127,동화마을 더치로드카페,인천광역시 중구 송월동3가 11-33,인천광역시 중구 송월동3가 11-33,37.47816,126.62113
128,공차 인천국제공항1호점,인천광역시 중구 운서동 2840,인천광역시 중구 운서동 2840,37.48447,126.48626
129,마리앙로제,인천광역시 중구 송월동1가 13-69,인천광역시 중구 송월동1가 13-69,37.47986,126.62348
130,띵크커피 인천공항점,인천광역시 중구 운서동 2840,인천광역시 중구 운서동 2840,37.48447,126.48626
131,오가다 인천운서역점,인천광역시 중구 운서동 2803-1,인천광역시 중구 운서동 2803-1,37.48447,126.48626
132,손커피연구소,인천광역시 중구 운남동 1641-20,인천광역시 중구 운남동 1641-20,37.4882202,126.5334971
133,메가MGC커피 영종운서역점,인천광역시 중구 운서동 2803-1,인천광역시 중구 운서동 2803-1,37.48447,126.48626
134,에그셀런트 영종하늘도시점,인천광역시 중구 중산동 1875-3,인천광역시 중구 중산동 1875-3,37.49627,126.5583
135,투썸플레이스 인천공항교통센터점,인천광역시 중구 운서동 2851,인천광역시 중구 운서동 2851,37.48447,126.48626
136,빽다방 인천 월미도점,인천광역시 중구 북성동1가 98-56,인천광역시 중구 북성동1가 98-56,37.4782563,126.6158726
137,행복나눔터 3호점,인천광역시 중구 운서동 543-5,인천광역시 중구 운서동 543-5,37.48447,126.48626
138,노루카페(삶의이야기),인천광역시 중구 운서동 3031-4,인천광역시 중구 운서동 3031-4,37.48447,126.48626
139,이디야커피(EDIYA COFFEE),인천광역시 중구 운북동 1363-7,인천광역시 중구 운북동 1363-7,37.51588,126.51892
140,주니베리(Juniberry),인천광역시 중구 신생동 2-1,인천광역시 중구 신생동 2-1,37.4696597,126.6266658
141,커피에반하다 영종운서점,인천광역시 중구 운서동 2925-1,인천광역시 중구 운서동 2925-1,37.48447,126.48626
142,카페하우스(cafeHouse),인천광역시 중구 송월동3가 15-12,인천광역시 중구 송월동3가 15-12,37.47816,126.62113
143,놀러가개 나도놀개,인천광역시 중구 운남동 412-2,인천광역시 중구 운남동 412-2,37.4882202,126.5334971
144,푸디스트(주) 카페,인천광역시 중구 운서동 2840-13,인천광역시 중구 운서동 2840-13,37.48447,126.48626
145,로스팅포러와일,인천광역시 중구 인현동 38,인천광역시 중구 인현동 38,37.47503,126.63179
146,커피베이 영종운서점,인천광역시 중구 운서동 3088-3,인천광역시 중구 운서동 3088-3,37.48447,126.48626
147,커피에반하다(인천운남점),인천광역시 중구 운남동 1514-9,인천광역시 중구 운남동 1514-9,37.4882202,126.5334971
148,나인인치커피,인천광역시 중구 운북동 1257-44,인천광역시 중구 운북동 1257-44,37.51588,126.51892
149,인천서점,인천광역시 중구 해안동1가 1-5,인천광역시 중구 해안동1가 1-5,37.47293,126.61994
150,목현,인천광역시 중구 운서동 3036-7,인천광역시 중구 운서동 3036-7,37.48447,126.48626
151,끌당,인천광역시 중구 신생동 33-6,인천광역시 중구 신생동 33-6,37.4696597,126.6266658
152,EGG DROP 신포점,인천광역시 중구 내동 102,인천광역시 중구 내동 102,37.47342,126.62744
153,이디야커피(답동지점),인천광역시 중구 답동 11-13,인천광역시 중구 답동 11-13,37.46947,126.62895
154,cafe in caritas(카페인카리타스),인천광역시 중구 경동 229-3,인천광역시 중구 경동 229-3,37.47209,126.63188
155,아모르카페,인천광역시 중구 율목동 237-3,인천광역시 중구 율목동 237-3,37.47009345,126.635044392266
156,전통찻집 마실,인천광역시 중구 운서동 3039-12,인천광역시 중구 운서동 3039-12,37.48447,126.48626
157,맘스케익 영종도운서점,인천광역시 중구 운서동 3060-30,인천광역시 중구 운서동 3060-30,37.4938884,126.49991903701068
158,시월애숲,인천광역시 중구 운남동 208-3,인천광역시 중구 운남동 208-3,37.4882202,126.5334971
159,오카드코히,인천광역시 중구 전동 19-34,인천광역시 중구 전동 19-34,37.47711,126.62651
160,카페아이싱,인천광역시 중구 율목동 33,인천광역시 중구 율목동 33,37.47009345,126.635044392266
161,브알라 인천국제공항 2호점,인천광역시 중구 운서동 2840,인천광역시 중구 운서동 2840,37.48447,126.48626
162,꽁커피,인천광역시 중구 중앙동2가 12,인천광역시 중구 중앙동2가 12,37.47286,126.62168
163,유니커스 (UNIQUS),인천광역시 중구 운남동 1536,인천광역시 중구 운남동 1536,37.4882202,126.5334971
164,카페건,인천광역시 중구 중산동 1967-1,인천광역시 중구 중산동 1967-1,37.49627,126.5583
165,투썸플레이스 인천공항물류단지점,인천광역시 중구 운서동 3170-6,인천광역시 중구 운서동 3170-6,37.48447,126.48626
166,더숲190,인천광역시 중구 운서동 3088-7,인천광역시 중구 운서동 3088-7,37.4505671,126.4563572
167,메가엠지씨커피 영종하늘도시점,인천광역시 중구 중산동 1884-1,인천광역시 중구 중산동 1884-1,37.49627,126.5583
168,메가엠지씨커피 인천차이나타운점,인천광역시 중구 북성동3가 3-8,인천광역시 중구 북성동3가 3-8,37.47616,126.62091
169,범산목장 인천왕산해수욕장점,인천광역시 중구 을왕동 810-203,인천광역시 중구 을왕동 810-203,37.45259,126.38318
170,스타벅스 영종하늘도시점,인천광역시 중구 중산동 1883-12,인천광역시 중구 중산동 1883-12,37.49627,126.5583
171,커피포트 3호점,인천광역시 중구 운서동 2868,인천광역시 중구 운서동 2868,37.48447,126.48626
172,신스(since)1956,인천광역시 중구 항동7가 104-26,인천광역시 중구 항동7가 104-26,37.45443,126.61033
173,유라커피(U_la coffee),인천광역시 중구 운서동 3112-1,인천광역시 중구 운서동 3112-1,37.48447,126.48626
